ScoutName,MatchNumber,TeamNumber,Mobility,AutonL1Attempted,AutonL1Scored,AutonL2Attempted,AutonL2Scored,AutonL3Attempted,AutonL3Scored,AutonL4Attempted,AutonL4Scored,AutonBargeAttempted,AutonBargeScored,AutonProcessorAttempted,AutonProcessorScored,AutonAlgaeRemoved,TeleopL1Attempted,TeleopL1Scored,TeleopL2Attempted,TeleopL2Scored,TeleopL3Attempted,TeleopL3Scored,TeleopL4Attempted,TeleopL4Scored,TeleopBargeAttempted,TeleopBargeScored,TeleopProcessorAttempted,TeleopProcessorScored,TeleopAlgaeRemoved,ClimbSuccessful,Climb,Breakdown,DefenseDescription,Notes
Jude,16,6081,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,2,2,5,0,Park,False,,
Jude,18,3322,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,Deep,False,,
Jude,19,548,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,True,,
Jude,20,2137,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,3,5,5,0,0,0,0,2,0,Deep,False,,
Jude,21,302,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,2,2,4,4,0,0,2,2,3,0,Park,False,,
Jude,22,6081,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,2,1,1,0,0,2,2,1,1,5,0,Deep,False,,
Dillon,23,4779,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,3,2,2,0,Park,False,,
Dillon,24,7250,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,3,3,0,0,0,0,3,0,Park,False,,
Dillon,26,5460,1,0,0,0,0,0,0,3,2,0,0,0,0,0,7,6,2,2,9,5,3,3,1,1,1,1,1,0,Deep,False,,
Dillon,26,68,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,0,0,0,0,0,Park,False,,
Dillon,27,9572,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,Park,False,,
Dillon,28,3538,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,4,4,2,2,0,0,0,0,1,0,None,False,,
Dillon,29,469,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,6,5,2,2,0,0,3,0,Park,False,,
Dillon,31,3641,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,5,4,4,0,0,0,0,0,0,Park,False,,
Dillon,32,107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,4,4,0,0,0,0,0,0,0,0,None,False,,
Dillon,33,7250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,0,0,0,0,0,0,None,False,,
Dillon,34,7491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,Deep,False,,
Dillon,35,9572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,2,0,0,0,0,0,0,0,0,Park,False,,
Dillon,36,27,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,2,3,2,6,6,1,1,0,0,0,0,1,0,None,False,,
Dillon,38,2137,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,8,8,4,3,0,0,1,1,1,0,Deep,False,,
Dillon,39,548,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,1,0,Park,False,,
Dillon,40,2337,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,0,Park,False,,
Dillon,41,33,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,7,7,2,2,1,1,0,0,3,0,Deep,False,,
Dillon,42,5843,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,3,2,3,2,0,0,0,0,0,0,Park,False,,
